stage,stage_label,scenario_id,scenario_label,attack_ratio,seed,Q_phy,Q_comm,Q_mis,Q_overall,alive_nodes,phy_edges,comm_edges,mis_edges,valid_paths,attacked_count,jammed_count,affected_sensor_count,affected_decider_count,affected_influencer_count
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.0,11,1.0,1.0,1.0,1.0,100,491,150,650,1003,0,0,0,0,0
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.0,17,1.0,0.9999999999999999,1.0,0.9999999999999998,100,496,165,673,1003,0,0,0,0,0
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.0,23,1.0,1.0,1.0,1.0,100,536,162,719,1015,0,0,0,0,0
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.0,29,1.0,1.0,1.0,1.0,100,491,140,688,1002,0,0,0,0,0
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.0,35,1.0,1.0,1.0,1.0,100,525,138,678,1010,0,0,0,0,0
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.1,11,0.8545925052904779,0.8913500497845257,0.8490566037735848,0.864999719616196,90,387,114,520,911,10,0,5,2,3
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.1,17,0.8651191784698588,0.8732535948722076,0.875,0.8711242577806887,90,405,115,549,1002,10,0,6,3,1
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.1,23,0.8584366640820127,0.8758186322061116,0.8888888888888888,0.8743813950590043,90,429,133,591,1006,10,0,5,3,2
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.1,29,0.856712712167786,0.9033521026598023,0.9375,0.8991882716091961,90,391,110,546,657,10,0,4,3,3
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.1,35,0.869275992639436,0.8693435432202544,0.9152542372881355,0.8846245910492753,90,435,113,533,1004,10,0,5,3,2
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.2,11,0.7314855189715674,0.7853378639658756,0.7358490566037735,0.7508908131804054,80,310,97,437,666,20,0,10,4,6
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.2,17,0.7080922579791068,0.7387665350184109,0.8125,0.7531195976658391,80,305,91,399,724,20,0,11,7,2
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.2,23,0.717801731553776,0.7525368251275244,0.8333333333333334,0.7678906300048779,80,327,91,444,651,20,0,10,6,4
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.2,29,0.7296475915421345,0.7783067231047447,0.8125,0.7734847715489597,80,312,104,420,482,20,0,9,7,4
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.2,35,0.7329493010627243,0.7553917485421688,0.711864406779661,0.7334018187948512,80,338,102,448,826,20,0,9,5,6
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.3,11,0.5998910804487728,0.6267893335265857,0.6226415094339622,0.6164406411364403,70,234,70,340,416,30,0,17,5,8
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.3,17,0.5769752274063679,0.6159343156823046,0.625,0.6059698476962241,70,225,68,296,400,30,0,13,12,5
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.3,23,0.6062089491908405,0.6518708554975939,0.7222222222222222,0.6601006756368855,70,255,75,350,482,30,0,17,7,6
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.3,29,0.5876174198092572,0.6615763881294813,0.6875,0.6455646026462462,70,226,80,311,177,30,0,17,7,6
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.3,35,0.6220644096842505,0.6292073677544149,0.5084745762711864,0.586582117903284,70,269,87,390,636,30,0,13,7,10
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.4,11,0.4687005430238386,0.5147615677295216,0.5094339622641509,0.4976320243391703,60,175,59,263,193,40,0,21,8,11
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.4,17,0.479372481757792,0.45912262469907916,0.5625,0.5003317021522904,60,167,45,202,166,40,0,18,17,5
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.4,23,0.48905975221542247,0.553538803694458,0.4444444444444444,0.4956810001181083,60,186,57,261,254,40,0,19,11,10
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.4,29,0.4644854492529154,0.5078420660834602,0.6875,0.5532758384454585,60,162,43,198,147,40,0,21,13,6
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.4,35,0.49438902533620244,0.5179043935107821,0.4067796610169491,0.47302435995464454,60,190,61,280,318,40,0,19,9,12
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.5,11,0.3342279838433496,0.3747431938028432,0.3962264150943396,0.3683991975801775,50,115,37,170,74,50,0,28,10,12
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.5,17,0.36753005002486017,0.35205728893894905,0.375,0.36486244632126974,50,113,38,136,69,50,0,24,18,8
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.5,23,0.37653096551420673,0.42703639991807346,0.3333333333333333,0.37896689958853785,50,130,44,178,136,50,0,24,15,11
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.5,29,0.37394746338998824,0.4115669298049579,0.5,0.42850479773164873,50,123,34,158,98,50,0,25,15,10
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.5,35,0.3620724521374871,0.38600281570821054,0.3559322033898305,0.36800249041184274,50,122,38,163,116,50,0,24,14,12
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.6,11,0.20415665045277206,0.2312055672157608,0.056603773584905655,0.16398866375114618,40,69,19,105,17,60,0,31,16,13
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.6,17,0.2567200956184732,0.2628858558142641,0.25,0.25653531714424577,40,70,26,86,31,60,0,30,20,10
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.6,23,0.24885247848107186,0.29968353228228545,0.3333333333333333,0.2939564480322302,40,84,30,99,54,60,0,30,19,11
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.6,29,0.2460140783595458,0.29880321164630547,0.375,0.3066057633352838,40,78,31,108,47,60,0,30,17,13
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.6,35,0.27109346973235254,0.28338718639246313,0.30508474576271183,0.2865218006291758,40,79,32,100,62,60,0,29,18,13
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.7,11,0.14637078407256113,0.1603951236472668,0.056603773584905655,0.12112322710157786,30,44,7,62,14,70,0,36,19,15
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.7,17,0.13067244516144896,0.18265527209909224,0.0625,0.12527590575351374,30,34,12,52,1,70,0,33,22,15
