stage,stage_label,scenario_id,scenario_label,attack_ratio,num_runs,Q_phy_mean,Q_phy_std,Q_comm_mean,Q_comm_std,Q_mis_mean,Q_mis_std,Q_overall_mean,Q_overall_std,alive_nodes_mean,alive_nodes_std,phy_edges_mean,phy_edges_std,comm_edges_mean,comm_edges_std,mis_edges_mean,mis_edges_std,valid_paths_mean,valid_paths_std,attacked_count_mean,attacked_count_std,jammed_count_mean,jammed_count_std,affected_sensor_count_mean,affected_sensor_count_std,affected_decider_count_mean,affected_decider_count_std,affected_influencer_count_mean,affected_influencer_count_std
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.0,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,9.930136612989092e-17,100.0,0.0,507.8,18.946239732464065,141.8,6.046486583132389,681.6,22.473095024940378,1006.6,5.083306010855534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.1,5,0.8608274105299142,0.005501241064448492,0.8826235845485803,0.012777215965945526,0.9163598676759506,0.12852269899373883,0.8866036209181484,0.039891360391787305,90.0,0.0,409.4,19.48948434412773,126.4,12.815615474880634,547.8,23.92822601030005,916.0,134.42172443470588,10.0,0.0,0.0,0.0,5.0,0.6324555320336759,2.8,0.39999999999999997,2.2,0.7483314773547882
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.2,5,0.7239952802218619,0.009586375233267079,0.7620679391517449,0.01722531041990556,0.6750519979257075,0.10887853126456842,0.7203717390997714,0.03380040469897231,80.0,0.0,318.4,12.240914998479484,101.2,4.069397989875161,429.6,18.051038751274124,669.8,112.22548730123653,20.0,0.0,0.0,0.0,9.8,0.7483314773547883,5.8,1.16619037896906,4.4,1.4966629547095764
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.3,5,0.5985514173078978,0.015481457129914373,0.637075652118076,0.016934334728151666,0.4269711185560869,0.1440189519551945,0.5541993959940203,0.04959598154602263,70.0,0.0,241.8,17.359723500102184,77.0,10.507140429250958,337.4,32.69005965121508,422.2,148.2840517385467,30.0,0.0,0.0,0.0,15.4,1.9595917942265424,7.6,2.33238075793812,7.0,1.7888543819998317
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.4,5,0.4792014503172342,0.011442967659971692,0.5106338911434601,0.03023883032642228,0.22181375319768595,0.05921005992285362,0.4038830315527934,0.02955397677131496,60.0,0.0,176.0,10.714476188783099,52.8,4.749736834815167,240.8,33.98470244095129,215.6,62.669290725202885,40.0,0.0,0.0,0.0,19.6,1.2,11.6,3.2,8.8,2.7856776554368237
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.5,5,0.36286178298197835,0.015179256073240013,0.3902813256346068,0.026551190556366948,0.10358736693307806,0.024880574152646134,0.28557682518322114,0.01970953919130437,50.0,0.0,120.6,6.086049621881176,34.2,4.621688003316537,161.0,14.198591479439079,98.6,25.231726060656257,50.0,0.0,0.0,0.0,25.0,1.5491933384829668,14.4,2.5768197453450252,10.6,1.4966629547095764
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.6,5,0.24536735452884312,0.02236785284658995,0.2751930706702158,0.02573220937665056,0.04533030132053941,0.01758590793962212,0.18863024217319943,0.0203098759783079,40.0,0.0,76.0,5.692099788303083,21.8,4.354308211415448,99.6,7.552483035399682,42.2,16.216041440499588,60.0,0.0,0.0,0.0,30.0,0.6324555320336759,18.0,1.4142135623730951,12.0,1.2649110640673518
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.7,5,0.15376961552996296,0.013512794025139406,0.17244803670075842,0.02418842525870245,0.017316239129527435,0.01270895670827824,0.11451129712008293,0.00863300263480005,30.0,0.0,43.4,4.882622246293481,10.8,4.06939798987516,59.2,6.881860213634101,16.0,12.116104984688768,70.0,0.0,0.0,0.0,34.0,1.0954451150103321,21.0,1.4142135623730951,15.0,0.6324555320336759
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.8,5,0.08048093924935334,0.012529716752742628,0.09021715095436988,0.007956544798185658,0.0051703355652027915,0.004410623350156947,0.05862280858964201,0.0077562635213012905,20.0,0.0,18.8,3.709447398198282,5.0,1.0954451150103321,26.2,3.3105890714493698,4.6,4.2708313008125245,80.0,0.0,0.0,0.0,38.6,1.3564659966250538,24.6,1.3564659966250538,16.8,0.39999999999999997
recon,侦察阶段（固定 $\Phi=1$）,hard_random,硬杀伤-随机攻击,0.9,5,0.02433994487869149,0.015431499287327758,0.028824538587918714,0.010455963410024957,0.0,0.0,0.017721494488870067,0.008125178467674469,10.0,0.0,5.0,2.1908902300206643,2.6,1.2000000000000002,7.6,4.079215610874228,0.0,0.0,90.0,0.0,0.0,0.0,43.0,1.2649110640673518,28.4,0.7999999999999999,18.6,1.2
