scenario_id,scenario_label,mode_label,targeting_label,strategy_id,strategy_label,attack_ratio,num_runs,resilience_mean,resilience_std,final_Q_phy_mean,final_Q_phy_std,final_Q_comm_mean,final_Q_comm_std,final_Q_mis_mean,final_Q_mis_std,final_Q_overall_mean,final_Q_overall_std
cyber_random,Network Suppression-Random Attack,Network Suppression,Random Attack,degree_driven,Maximum-Degree Reconfiguration,0.25,5,0.39776761336239663,0.11775468470724461,1.0,0.0,0.6340243011408377,0.031981656633766994,0.6669281045751634,0.1036738940330961,0.6689044450250222,0.06476250257310139
cyber_random,Network Suppression-Random Attack,Network Suppression,Random Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.25,5,0.39816036976401287,0.11769039774610125,1.0,0.0,0.6346936061711561,0.031695172967272,0.6669281045751634,0.1036738940330961,0.6692508605916613,0.06466810714387891
cyber_random,Network Suppression-Random Attack,Network Suppression,Random Attack,no_reconfiguration,Static Baseline,0.25,5,0.39752678978567496,0.11788419913771776,1.0,0.0,0.6337237379878655,0.032259733269522584,0.6669281045751634,0.1036738940330961,0.6686397343821211,0.06483630952574476
cyber_random,Network Suppression-Random Attack,Network Suppression,Random Attack,utility_role_driven,Utility-Guided and Role-Driven Reconfiguration,0.25,5,0.5284237393535454,0.11258518994598953,1.0,0.0,0.8606497993738644,0.018939971799600063,0.8022222222222222,0.1330367070852957,0.8430045533646549,0.0750500283478089
cyber_random,Network Suppression-Random Attack,Network Suppression,Random Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,0.25,5,0.45131818606220275,0.11465427170522603,1.0,0.0,0.7298014825182794,0.030943272954738837,0.7833333333333333,0.11439589045541111,0.7758607771756079,0.06329985053872926
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,0.25,5,0.0,0.0,1.0,0.0,0.4005502024526849,0.022621975317948417,0.1877124183006536,0.060376593076989976,0.3242332574780985,0.02896234654139373
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.25,5,0.0,0.0,1.0,0.0,0.4015453820360162,0.022909267344135696,0.1877124183006536,0.060376593076989976,0.32472631659359347,0.0288787493741105
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.25,5,0.0,0.0,1.0,0.0,0.4002476209857028,0.022776812446157518,0.1877124183006536,0.060376593076989976,0.3239676385938931,0.029130050124034725
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,utility_role_driven,Utility-Guided and Role-Driven Reconfiguration,0.25,5,0.17884894882488225,0.027873311113814265,1.0,0.0,0.6159649022316775,0.022317650772533556,0.8833333333333334,0.08678055195451836,0.7799669788055609,0.044732252427672356
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,0.25,5,0.00032802415810427035,0.0006560483162085407,1.0,0.0,0.5030485647822893,0.02141474994625545,0.07751633986928104,0.058772090799348156,0.3239096709533212,0.03069297181376147
cyber_topology,Network Suppression-Topology-Oriented Deliberate Attack,Network Suppression,Topology-Oriented Deliberate Attack,degree_driven,Maximum-Degree Reconfiguration,0.25,5,0.4525487691733726,0.09756620570266816,1.0,0.0,0.685787940205843,0.03784379269671263,0.6805228758169936,0.11432446875304784,0.6989954682251895,0.05366485492719015
cyber_topology,Network Suppression-Topology-Oriented Deliberate Attack,Network Suppression,Topology-Oriented Deliberate Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.25,5,0.4530857676394633,0.0973311506685776,1.0,0.0,0.6868333261156876,0.03793042569433158,0.6805228758169936,0.11432446875304784,0.6995111201876155,0.0534315718689203
cyber_topology,Network Suppression-Topology-Oriented Deliberate Attack,Network Suppression,Topology-Oriented Deliberate Attack,no_reconfiguration,Static Baseline,0.25,5,0.4523284041884613,0.09764668126111715,1.0,0.0,0.685598187544793,0.03767341191922265,0.6805228758169936,0.11432446875304784,0.6987806223036536,0.05370567469361441
cyber_topology,Network Suppression-Topology-Oriented Deliberate Attack,Network Suppression,Topology-Oriented Deliberate Attack,utility_role_driven,Utility-Guided and Role-Driven Reconfiguration,0.25,5,0.6019018613033171,0.04384667608814019,1.0,0.0,0.9015727578205948,0.021767016535111774,0.8604575163398692,0.06491351120488958,0.8919054515162405,0.04024600422283156
cyber_topology,Network Suppression-Topology-Oriented Deliberate Attack,Network Suppression,Topology-Oriented Deliberate Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,0.25,5,0.5277765378897277,0.10365974513222764,1.0,0.0,0.7336619378844494,0.03426520736083612,0.8033986928104575,0.12062420421104599,0.7891237237009646,0.07076286294085576
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,degree_driven,Maximum-Degree Reconfiguration,0.25,5,0.42879610809827173,0.11322335824213337,0.9942389718103375,0.01152205637932524,0.7913921411192462,0.028368834955685065,0.7251851851851852,0.15828990090895503,0.774369393820345,0.08840665518927375
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.25,5,0.397527833274967,0.11000600540233794,0.6624802939078089,0.01622188876172761,0.6723650315681153,0.037727923240497,0.7042483660130718,0.10254358325484611,0.6878124619075783,0.06496182467460644
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,no_reconfiguration,Static Baseline,0.25,5,0.3577490074032986,0.10638474530694407,0.6633029008836738,0.011833375475738206,0.6101715581877626,0.031608601109388096,0.6780392156862746,0.09363310275063198,0.6467619540718141,0.05851160991881923
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,utility_role_driven,Utility-Guided and Role-Driven Reconfiguration,0.25,5,0.502528643417432,0.10797679170622833,0.7439959456254803,0.041130233134935544,0.8615275512287731,0.016381950358083392,0.7911111111111111,0.11208462411483104,0.8204427508897775,0.061324670670300674
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,0.25,5,0.41637396453506403,0.10770379921023991,0.7813548643128503,0.026812979135925424,0.7101771875272563,0.018757371909942575,0.7944444444444444,0.11055415967851333,0.7558696998251302,0.06147296441458468
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,0.25,5,0.03707265276756098,0.023166809160904286,1.0,0.0,0.5770495116970082,0.024548134647400344,0.7175816993464051,0.13138171853669076,0.674347796457488,0.06297957687195621
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.25,5,0.0,0.0,0.6462122095830468,0.009174301769281728,0.43507882974033674,0.02290489915654718,0.22058823529411767,0.08158161451832642,0.33839020150936266,0.03638976718220769
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.25,5,0.0,0.0,0.640560138576708,0.008253745310379408,0.38465354672542035,0.02290289444367985,0.1877124183006536,0.060376593076989976,0.2989783121056014,0.029121091952934032
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,utility_role_driven,Utility-Guided and Role-Driven Reconfiguration,0.25,5,0.17347095574097143,0.03059901220776338,0.9302998630500297,0.028977770729477666,0.5938783310988651,0.022416563066967297,0.9366666666666665,0.05979388465366095,0.7938582813626771,0.04799738520299307
