eta,tau_mis,seed,time,Q_comm,Q_mis,mean_pair_distance,valid_path_count,physical_complete
0.2,0.05,11,0,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,1,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,2,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,3,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,4,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,5,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,6,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,7,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,8,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,9,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,10,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,11,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,12,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,13,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,14,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,15,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,16,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,17,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,18,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,19,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,20,1.0,1.0,1.4238497975171946,1000,1
0.2,0.05,11,21,1.0,1.0,1.6339815048362618,1000,1
0.2,0.05,11,22,1.0,1.0,1.8454790557361238,1000,1
0.2,0.05,11,23,1.0,1.0,2.05795769443552,1000,1
0.2,0.05,11,24,0.9997482820741835,1.0,2.271171342204998,1000,1
0.2,0.05,11,25,0.9985770597997222,1.0,2.484953107292809,1000,1
0.2,0.05,11,26,0.996072904905679,1.0,2.6991848644401926,1000,1
0.2,0.05,11,27,0.9918385229387843,1.0,2.913780192672412,1000,1
0.2,0.05,11,28,0.9857540638011485,1.0,3.1286741583707336,1000,1
0.2,0.05,11,29,0.9783103813498127,1.0,3.3438168841227065,1000,1
0.2,0.05,11,30,0.9697707261474551,1.0,3.5591693361493064,1000,1
0.2,0.05,11,31,0.9604296231389323,1.0,3.7747004731819698,1000,1
0.2,0.05,11,32,0.9504711273831206,1.0,3.9903852629865164,1000,1
0.2,0.05,11,33,0.9399791146441834,1.0,4.206203269655344,1000,1
0.2,0.05,11,34,0.929041234685713,1.0,4.422137626683026,1000,1
0.2,0.05,11,35,0.9177642101658435,1.0,4.638174276987494,1000,1
0.2,0.05,11,36,0.906277878841782,1.0,4.854301401487447,1000,1
