eta,tau_mis,seed,mu_comm,physical_disconnect_time
0.2,0.05,11,3.265171503957822,71
0.2,0.05,17,3.265171503957822,71
0.2,0.05,23,3.265171503957822,71
0.2,0.05,29,3.265171503957822,71
0.2,0.05,35,3.265171503957822,71
0.2,0.15,11,3.265171503957822,71
0.2,0.15,17,3.265171503957822,71
0.2,0.15,23,3.265171503957822,71
0.2,0.15,29,3.265171503957822,71
0.2,0.15,35,3.265171503957822,71
0.2,0.25,11,3.265171503957822,71
0.2,0.25,17,3.265171503957822,71
0.2,0.25,23,3.265171503957822,71
0.2,0.25,29,3.265171503957822,71
0.2,0.25,35,3.265171503957822,71
0.5,0.05,11,3.265171503957822,71
0.5,0.05,17,3.265171503957822,71
0.5,0.05,23,3.265171503957822,71
0.5,0.05,29,3.265171503957822,71
0.5,0.05,35,3.265171503957822,71
0.5,0.15,11,3.265171503957822,71
0.5,0.15,17,3.265171503957822,71
0.5,0.15,23,3.265171503957822,71
0.5,0.15,29,3.265171503957822,71
0.5,0.15,35,3.265171503957822,71
0.5,0.25,11,3.265171503957822,71
0.5,0.25,17,3.265171503957822,71
0.5,0.25,23,3.265171503957822,71
0.5,0.25,29,3.265171503957822,71
0.5,0.25,35,3.265171503957822,71
0.8,0.05,11,3.265171503957822,71
0.8,0.05,17,3.265171503957822,71
0.8,0.05,23,3.265171503957822,71
0.8,0.05,29,3.265171503957822,71
0.8,0.05,35,3.265171503957822,71
0.8,0.15,11,3.265171503957822,71
0.8,0.15,17,3.265171503957822,71
0.8,0.15,23,3.265171503957822,71
0.8,0.15,29,3.265171503957822,71
0.8,0.15,35,3.265171503957822,71
0.8,0.25,11,3.265171503957822,71
0.8,0.25,17,3.265171503957822,71
0.8,0.25,23,3.265171503957822,71
0.8,0.25,29,3.265171503957822,71
0.8,0.25,35,3.265171503957822,71
