eta,tau_mis,time,num_runs,Q_comm_mean,Q_comm_std,Q_mis_mean,Q_mis_std,mean_pair_distance_mean,mean_pair_distance_std,valid_path_count_mean,valid_path_count_std,physical_complete_mean,physical_complete_std
0.2,0.05,0,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,1,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,2,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,3,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,4,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,5,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,6,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,7,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,8,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,9,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,10,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,11,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,12,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,13,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,14,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,15,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,16,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,17,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,18,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,19,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,20,5,1.0,0.0,1.0,0.0,1.3800208866502497,0.027702094818990466,1000.0,0.0,1.0,0.0
0.2,0.05,21,5,1.0,0.0,1.0,0.0,1.5883291287025005,0.028310380355146523,1000.0,0.0,1.0,0.0
0.2,0.05,22,5,1.0,0.0,1.0,0.0,1.7982019176404311,0.02893750418334882,1000.0,0.0,1.0,0.0
0.2,0.05,23,5,1.0,0.0,1.0,0.0,2.009185841293738,0.02959274478214269,1000.0,0.0,1.0,0.0
0.2,0.05,24,5,0.9998675995916744,7.574151596549311e-05,1.0,0.0,2.2209954008462183,0.030279470913957576,1000.0,0.0,1.0,0.0
0.2,0.05,25,5,0.9989557161617004,0.0002952825501796539,1.0,0.0,2.433439001342893,0.030998475076985218,1000.0,0.0,1.0,0.0
0.2,0.05,26,5,0.9966241060523021,0.0005580241663960931,1.0,0.0,2.6463821434462007,0.031749276572546704,1000.0,0.0,1.0,0.0
0.2,0.05,27,5,0.9925196799324748,0.0008177016780300452,1.0,0.0,2.8597270885644184,0.03253074442671014,1000.0,0.0,1.0,0.0
0.2,0.05,28,5,0.9865762372791954,0.0009395548539964857,1.0,0.0,3.073400814454631,0.03334142245379088,1000.0,0.0,1.0,0.0
0.2,0.05,29,5,0.9791405248307594,0.0009650479819197159,1.0,0.0,3.287347500863221,0.034179708542855985,1000.0,0.0,1.0,0.0
0.2,0.05,30,5,0.9706059641686231,0.0009731005870259711,1.0,0.0,3.5015236447242963,0.03504395721400877,1000.0,0.0,1.0,0.0
0.2,0.05,31,5,0.9612962256816434,0.0009813507463524314,1.0,0.0,3.715894775923432,0.035932539448495816,1000.0,0.0,1.0,0.0
0.2,0.05,32,5,0.9513755115472025,0.0010190804507804174,1.0,0.0,3.930433185792662,0.036843877613649635,1000.0,0.0,1.0,0.0
0.2,0.05,33,5,0.9409905978052857,0.0010742668533120596,1.0,0.0,4.145116317556786,0.03777646532784248,1000.0,0.0,1.0,0.0
0.2,0.05,34,5,0.9302183763866335,0.0011279690780866703,1.0,0.0,4.359925601631769,0.03872887796266958,1000.0,0.0,1.0,0.0
0.2,0.05,35,5,0.9191477097368903,0.001191091077058675,1.0,0.0,4.574845597160841,0.03969977721672364,1000.0,0.0,1.0,0.0
0.2,0.05,36,5,0.9078201918566503,0.0012512226295543184,1.0,0.0,4.789863348863579,0.04068791190527588,1000.0,0.0,1.0,0.0
0.2,0.05,37,5,0.8962731030900102,0.0013029279480605443,1.0,0.0,5.004967898126438,0.041692116344082666,1000.0,0.0,1.0,0.0
