delta_id,delta_label,baseline_id,q_min,lambda,num_runs,delta_resilience_mean,delta_resilience_std
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.3,0.01,5,0.14882126660726913,0.06795321656476555
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.3,0.03,5,0.1377727769070568,0.06056777583243851
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.3,0.05,5,0.125808419289877,0.05442510733995625
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.3,0.07,5,0.11455919469690898,0.04969635548189665
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.3,0.1,5,0.10016904928911512,0.04451422941542282
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.4,0.01,5,0.17362481104181388,0.0792787526588931
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.4,0.03,5,0.16073490639156626,0.07066240513784519
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.4,0.05,5,0.146776489171523,0.06349595856328252
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.4,0.07,5,0.1336523938130602,0.05797908139554628
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.4,0.1,5,0.11686389083730064,0.05193326765132634
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.5,0.01,5,0.20834977325017673,0.0951345031906717
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.5,0.03,5,0.19288188766987951,0.08479488616541409
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.5,0.05,5,0.1761317870058276,0.07619515027593882
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.5,0.07,5,0.16038287257567246,0.06957489767465543
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.5,0.1,5,0.14023666900476098,0.0623199211815915
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.6,0.01,5,0.2389122864765226,0.10341882944271247
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.6,0.03,5,0.21979003480148598,0.09189332350268242
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.6,0.05,5,0.1991555932209387,0.0827013810887971
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.6,0.07,5,0.17984200995763294,0.07587347606048084
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.6,0.1,5,0.15530746496966336,0.06856273020288399
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.7,0.01,5,0.18927049392567968,0.12468027345952055
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.7,0.03,5,0.1706176379903356,0.11131289811913544
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.7,0.05,5,0.15057829582738713,0.09906017538509022
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.7,0.07,5,0.13203371686515022,0.08852318499945541
delta_vs_nearest,Resilience Gain over Nearest-Neighbor Reconfiguration $\Delta R_1$,distance_driven,0.7,0.1,5,0.10895750249788996,0.0756785988363249
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.3,0.01,5,0.08318797249643309,0.03012748964114952
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.3,0.03,5,0.0798328045947,0.02685961087182102
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.3,0.05,5,0.0749980553900786,0.02336153200946515
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.3,0.07,5,0.07001829523431524,0.020057566106929103
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.3,0.1,5,0.06348889811705286,0.01638985336347781
delta_vs_degree,Resilience Gain over Maximum-Degree Reconfiguration $\Delta R_2$,degree_driven,0.4,0.01,5,0.09705263457917183,0.03514873791467451
