strategy_id,strategy_label,seed,q_min,lambda,resilience
distance_driven,Nearest-Neighbor Reconfiguration,11,0.3,0.01,0.36711193616797305
distance_driven,Nearest-Neighbor Reconfiguration,17,0.3,0.01,0.44137678262608776
distance_driven,Nearest-Neighbor Reconfiguration,23,0.3,0.01,0.5420252874171655
distance_driven,Nearest-Neighbor Reconfiguration,29,0.3,0.01,0.60946123784587
distance_driven,Nearest-Neighbor Reconfiguration,35,0.3,0.01,0.587307042617005
distance_driven,Nearest-Neighbor Reconfiguration,11,0.3,0.03,0.3677356287040956
distance_driven,Nearest-Neighbor Reconfiguration,17,0.3,0.03,0.4411453384871184
distance_driven,Nearest-Neighbor Reconfiguration,23,0.3,0.03,0.539333640240191
distance_driven,Nearest-Neighbor Reconfiguration,29,0.3,0.03,0.6028227711132781
distance_driven,Nearest-Neighbor Reconfiguration,35,0.3,0.03,0.5851778566168834
distance_driven,Nearest-Neighbor Reconfiguration,11,0.3,0.05,0.36860786270955825
distance_driven,Nearest-Neighbor Reconfiguration,17,0.3,0.05,0.4408850756976313
distance_driven,Nearest-Neighbor Reconfiguration,23,0.3,0.05,0.5364606570147793
distance_driven,Nearest-Neighbor Reconfiguration,29,0.3,0.05,0.5953701865331207
distance_driven,Nearest-Neighbor Reconfiguration,35,0.3,0.05,0.5829793300645025
distance_driven,Nearest-Neighbor Reconfiguration,11,0.3,0.07,0.3696632116582846
distance_driven,Nearest-Neighbor Reconfiguration,17,0.3,0.07,0.4406238533838606
distance_driven,Nearest-Neighbor Reconfiguration,23,0.3,0.07,0.5337097117742163
distance_driven,Nearest-Neighbor Reconfiguration,29,0.3,0.07,0.5879734873096326
distance_driven,Nearest-Neighbor Reconfiguration,35,0.3,0.07,0.5809585739087798
distance_driven,Nearest-Neighbor Reconfiguration,11,0.3,0.1,0.3714711074966917
distance_driven,Nearest-Neighbor Reconfiguration,17,0.3,0.1,0.4402530500736989
distance_driven,Nearest-Neighbor Reconfiguration,23,0.3,0.1,0.5299952906251663
distance_driven,Nearest-Neighbor Reconfiguration,29,0.3,0.1,0.5777468766563878
distance_driven,Nearest-Neighbor Reconfiguration,35,0.3,0.1,0.5783836251854538
distance_driven,Nearest-Neighbor Reconfiguration,11,0.4,0.01,0.2616305921959685
distance_driven,Nearest-Neighbor Reconfiguration,17,0.4,0.01,0.3482729130637687
distance_driven,Nearest-Neighbor Reconfiguration,23,0.4,0.01,0.46569616865335933
distance_driven,Nearest-Neighbor Reconfiguration,29,0.4,0.01,0.5443714441535148
distance_driven,Nearest-Neighbor Reconfiguration,35,0.4,0.01,0.5185248830531721
distance_driven,Nearest-Neighbor Reconfiguration,11,0.4,0.03,0.26235823348811177
distance_driven,Nearest-Neighbor Reconfiguration,17,0.4,0.03,0.348002894901638
distance_driven,Nearest-Neighbor Reconfiguration,23,0.4,0.03,0.46255591361355625
distance_driven,Nearest-Neighbor Reconfiguration,29,0.4,0.03,0.536626566298825
distance_driven,Nearest-Neighbor Reconfiguration,35,0.4,0.03,0.5160408327196978
distance_driven,Nearest-Neighbor Reconfiguration,11,0.4,0.05,0.263375839827818
distance_driven,Nearest-Neighbor Reconfiguration,17,0.4,0.05,0.34769925498056997
distance_driven,Nearest-Neighbor Reconfiguration,23,0.4,0.05,0.4592040998505759
distance_driven,Nearest-Neighbor Reconfiguration,29,0.4,0.05,0.5279318842886408
distance_driven,Nearest-Neighbor Reconfiguration,35,0.4,0.05,0.5134758850752527
distance_driven,Nearest-Neighbor Reconfiguration,11,0.4,0.07,0.2646070802679989
distance_driven,Nearest-Neighbor Reconfiguration,17,0.4,0.07,0.34739449561450414
distance_driven,Nearest-Neighbor Reconfiguration,23,0.4,0.07,0.45599466373658554
distance_driven,Nearest-Neighbor Reconfiguration,29,0.4,0.07,0.5193024018612385
distance_driven,Nearest-Neighbor Reconfiguration,35,0.4,0.07,0.51111833622691
distance_driven,Nearest-Neighbor Reconfiguration,11,0.4,0.1,0.26671629207947345
distance_driven,Nearest-Neighbor Reconfiguration,17,0.4,0.1,0.3469618917526486
